H|SLOC_KEY|SITE_ID|SITE_NAME|SLOC_ID|SLOC_DESC|COMP_ID|POPULATION_DATE
D|10811001|1081|หัวหิน Showroom|1001|Showroom|1000|21052023
D|10811002|1081|หัวหิน Showroom|1002|WH|1000|21052023
D|10811003|1081|หัวหิน Showroom|1003|Clearance Sales|1000|21052023
D|10811004|1081|หัวหิน Showroom|1004|DirecShip|1000|21052023
D|1081RTN|1081|หัวหิน Showroom|RTN|Return|1000|21052023
D|10822001|1082|หัวหิน Anyhome|2001|Anyhome|1000|21052023
D|10822002|1082|หัวหิน Anyhome|2002|Anyhome buffer|1000|21052023
D|1082RTN|1082|หัวหิน Anyhome|RTN|Return|1000|21052023
T|d_storage_loc.txt|8|0|0|0|PRD900|21052023
